codigo,departamentos,población menor 1 año (meta programática),bcg recien nacido (hasta 29 días) + menor un año (a partir de 30 dias hasta 11 meses 29 dias) dosis unica,hb recien nacido (hasta 29 días) d. unica,antipolio inactivada (vip) parenteral <  de 1 año 1ras. dosis,vop <de1 año + vip <1año 3as 3.dosis,penta menor de un año 1ras. dosis,penta menor de un año 2das. dosis,penta menor de un año 3ras dosis,rotavirus de 2 a 3 meses y 21 dias 1ra dosis,rotavirus de 4 a 11 meses y 29 dias 2da dosis,flu de 6 meses a 11 meses 1ra dosis,flu de 6 meses a 11 meses 2da dosis,neumo (2 a 11 meses 29 dias) 1ra dosis,neumo (2 a 11 meses 29 dias) 2da dosis,población de 1 año (meta programática),srp (t.v.) de un año u.dósis,varicela de 1 año 1a u.dósis,f.a. 1 año u.dósis,neumo de (12 meses a 23 meses) ref.,neumo de (12-23 meses) 1ra dosis,neumo de (12-23 meses) 2da dosis,neumo de (24- 35 meses) dosis unica,ha 1 año u. dósis,vop al año de la 3ra dosis 1er. ref.,dpt al año de la 3ra dosis 1er. ref.,población 5 años (meta programática),vop 5 años 2do. ref.,dpt 5 años 2do. ref.,srp (t.v.) 5 años ref.,flu gestantes a partir de la semana 14 unica,tdap acelular gestantes de 10 años y mas unica dosis en cada embarazo,region
91.0,AMAZONAS,1802,1503,1368,1560,1445,1557,1513,1444,1424,1448,1419,1070,1545,1503,1845,1575,1563,1869,1547,8,26,47,1582,1517,1517,1831,1478,1478,1468,847,1077,AMAZONIA
5.0,ANTIOQUIA,78411,75215,74126,75821,73969,75935,75375,74329,74104,73897,56768,42336,73013,68259,79793,76176,75795,61520,69229,480,474,1176,76361,70175,70546,85022,73860,73294,73823,54930,65742,ANDINA
81.0,ARAUCA,4272,4415,4331,4651,4500,4646,4615,4499,4471,4485,2922,2296,4715,4511,4430,4537,4496,5161,4418,42,69,86,4585,4002,4001,4907,4520,4523,4522,2750,3628,LLANOS
8.0,ATLANTICO,20672,20653,18857,19610,20551,19555,20019,20610,19345,19803,13271,7393,18180,18103,21016,21391,20701,19229,18776,141,188,382,21158,20131,20497,21547,20083,21028,20761,9073,12954,CARIBE
8001.0,BARRANQUILLA,21907,22270,21851,21771,21238,21840,21341,21305,21570,21068,18632,12802,21952,20979,21875,21552,20833,16019,21166,107,57,164,21560,20293,20324,22745,19112,19171,19158,14731,17536,CARIBE
11.0,BOGOTA D.C.,105191,112338,112126,99815,100535,99870,100891,100560,98863,99995,84894,60130,100029,100161,105341,100342,99127,81932,98761,235,409,654,100471,91104,91351,108208,93218,90629,92039,71240,91905,ANDINA
13.0,BOLIVAR,22708,11559,10915,17583,18024,17741,18040,18078,17068,17307,15545,10382,17105,17200,22993,18803,17860,14041,18125,128,188,524,18918,18894,18970,22474,19305,19314,19148,12255,13822,CARIBE
13001.0,CARTAGENA,19368,19203,19034,18169,17234,18189,17869,17222,17656,17533,14309,11362,17343,16745,19587,18020,17600,13487,16160,56,166,208,18088,15702,15741,18768,15267,15258,15479,15040,15013,CARIBE
15.0,BOYACA,16432,15612,15461,15677,15359,15720,15354,15370,15636,15304,14015,11921,15722,15326,16748,15724,15596,14089,15541,66,38,68,15745,15242,15257,18801,16846,16833,16834,12258,13626,ANDINA
17.0,CALDAS,10276,9876,9726,9719,9794,9733,9658,9779,9583,9577,8513,6639,9646,9686,10498,9863,9835,8182,9738,177,6,8,9953,9935,9799,11346,10361,10296,10240,7119,8611,ANDINA
18.0,CAQUETA,8825,7261,7004,7153,6679,7155,6986,6679,6625,6628,6369,4670,7160,6982,9227,7257,7201,7609,7114,115,207,196,7273,6255,6255,9508,6997,6996,7005,5637,5884,AMAZONIA
85.0,CASANARE,7580,6420,6278,6836,6917,6836,6885,6928,6758,6820,6228,4470,6848,6888,7749,7149,7111,7242,7137,1,9,21,7146,7163,7163,7660,7112,7108,7115,4649,5345,LLANOS
19.0,CAUCA,22448,17198,16671,20784,20612,20821,20735,20581,20184,20205,18715,13471,20478,20026,23092,21112,20824,17864,20381,92,158,158,21078,19067,19073,23455,20942,20795,20820,12834,15285,PACIFICO
20.0,CESAR,23728,20554,20021,22284,21321,22312,22013,21335,21522,21374,19157,14164,22447,21914,24015,22202,21438,17560,21924,236,318,450,22265,21443,21445,24168,22120,22177,21997,13968,18777,CARIBE
27.0,CHOCO,10908,9145,6782,10338,8981,10365,9757,8981,8111,8148,8545,5264,10254,9636,11728,10994,10725,10229,10346,349,842,181,11005,7240,7218,11104,9010,9010,9028,5324,6376,PACIFICO
23.0,CORDOBA,32530,23898,23565,28571,29312,28598,28624,29319,27920,28068,24953,16550,27894,27781,32371,28719,28089,23385,27489,99,117,202,28614,27060,27005,32246,29221,29134,29089,20746,22180,CARIBE
25.0,CUNDINAMARCA,37799,18528,18396,31565,32219,31616,32132,32259,31325,31911,26665,18229,31468,32012,39124,32740,32366,27313,32469,123,50,185,32747,32011,32009,41481,32926,32896,32655,15386,24111,ANDINA
94.0,GUAINIA,781,960,776,942,718,940,824,712,748,652,409,292,951,811,853,866,836,933,821,42,58,54,866,533,533,896,816,820,834,395,501,AMAZONIA
95.0,GUAVIARE,1398,1215,1181,1233,1213,1233,1263,1214,1182,1225,697,520,1237,1269,1516,1319,1300,1683,1318,5,4,6,1319,1227,1227,1699,1479,1479,1481,721,1004,AMAZONIA
41.0,HUILA,20719,19950,19905,19374,18940,19432,19192,18933,19199,19015,15960,11921,19427,19187,21071,19174,18817,16513,19081,19,76,77,19178,18290,18287,20510,18909,18899,18914,13513,16957,ANDINA
44.0,LA GUAJIRA,20984,18344,16498,19252,16827,19322,17577,16830,16601,15802,14935,9322,18364,16448,21108,18825,18589,11865,17216,527,685,1329,18874,14016,14004,20623,16384,16379,16367,10849,12975,CARIBE
47.0,MAGDALENA,17776,13323,13076,16325,16259,16327,16408,16288,15876,16135,12201,8473,16353,16408,18085,17109,16799,14574,17010,106,151,230,17118,16884,16891,18541,17398,17402,17458,9776,12245,CARIBE
47001.0,SANTA MARTA,9061,9296,9224,8676,7895,8685,8362,7902,8201,8019,7418,4951,8579,8237,9036,8413,8027,5599,8037,94,121,190,8410,7541,7546,9209,7322,7317,7334,5774,6628,CARIBE
50.0,META,16745,15762,15328,15458,14953,15483,15263,14910,14833,14803,10773,8137,14815,14238,16994,15788,15360,19030,13824,68,118,65,15734,14458,14479,17324,14241,14221,14099,8756,11810,LLANOS
52.0,NARIÑO,21219,19170,18709,19403,19156,19397,19258,19167,18914,18928,11664,9500,19264,19064,21816,20010,19900,16617,19562,74,162,165,20109,18613,18604,23415,20453,20439,20499,11690,15889,PACIFICO
54.0,NORTE DE SANTANDER,23877,21100,20706,21869,22384,21846,21831,22457,21193,21332,19312,12809,22179,21010,23929,22742,22800,16845,21771,168,389,289,23165,19466,19577,24257,21212,21408,21362,13018,17543,ANDINA
86.0,PUTUMAYO,5310,4139,4009,4614,4692,4615,4657,4691,4459,4553,3344,2735,4612,4663,5544,4918,4834,4248,4831,34,74,63,4960,4573,4577,5927,4933,4931,4945,3172,3611,AMAZONIA
63.0,QUINDIO,5813,6086,6051,5777,5720,5779,5785,5715,5767,5766,5051,3760,5837,5823,5981,5942,5906,5313,5954,18,20,32,5988,5853,5864,6479,5988,5973,5884,4374,5100,ANDINA
66.0,RISARALDA,11180,11320,11208,10724,10715,10797,10667,10717,10649,10583,8354,6714,10707,10418,11369,10903,10774,7988,10631,119,102,112,10931,10636,10628,12164,11281,11242,11065,6754,9481,ANDINA
88.0,SAN ANDRES ISLA,919,835,831,863,801,864,858,800,852,847,496,341,863,853,909,834,820,734,826,0,1,0,835,862,857,928,776,773,771,667,727,CARIBE
68.0,SANTANDER,33313,27003,26268,30172,30209,30709,30129,30051,30076,30235,26603,20577,30234,30340,33241,30904,30238,24137,29581,473,105,297,30825,28169,28381,32579,28097,28395,27129,21268,25293,ANDINA
70.0,SUCRE,16298,13778,13647,14398,14144,14414,14276,14156,14107,14009,9361,8074,14353,14221,16424,14498,14224,12438,14357,58,104,152,14514,14546,14538,17422,15546,15552,15525,10431,12348,CARIBE
73.0,TOLIMA,19332,16056,15716,17276,17086,17299,17194,17074,17118,16999,15150,9971,17058,16940,19693,17199,16981,12960,16742,92,54,194,17217,16342,16198,20594,17351,17013,17067,8437,13311,ANDINA
76.0,VALLE DEL CAUCA,58592,50417,49517,56223,55938,55708,55989,55910,55542,55645,42009,26467,55583,55879,57615,55339,55572,51520,55249,266,192,424,55244,54214,54194,59318,56196,56141,56013,30554,39126,PACIFICO
76109.0,BUENAVENTURA,6419,4707,4487,4770,4133,4789,4520,4135,4243,4096,3956,2664,4783,4464,6213,4816,4693,2928,4583,158,212,495,4778,3752,3789,7012,4913,4900,4829,3787,3814,PACIFICO
97.0,VAUPES,861,748,486,747,586,744,696,594,519,540,342,184,777,706,878,814,775,850,774,26,61,71,791,533,533,841,763,759,742,342,434,AMAZONIA
99.0,VICHADA,1718,1286,843,1903,1156,1900,1535,1159,1249,1136,1116,541,1842,1430,1875,1910,1769,1158,1480,150,285,106,1844,1093,1094,1746,1269,1272,1285,750,1093,LLANOS
