codigo,departamentos,población menor 1 año (meta programática),bcg recien nacido (hasta 29 días) + menor un año (a partir de 30 dias hasta 11 meses 29 dias) dosis unica,hb recien nacido (hasta 29 días) d. unica,antipolio inactivada (vip) parenteral <  de 1 año 1ras. dosis,vop <de1 año + vip <1año 3as 3.dosis,penta menor de un año 1ras. dosis,penta menor de un año 2das. dosis,penta menor de un año 3ras dosis,rotavirus de 2 a 3 meses y 21 dias 1ra dosis,rotavirus de 4 a 11 meses y 29 dias 2da dosis,flu de 6 meses a 11 meses 1ra dosis,flu de 6 meses a 11 meses 2da dosis,neumo (2 a 11 meses 29 dias) 1ra dosis,neumo (2 a 11 meses 29 dias) 2da dosis,población de 1 año (meta programática),srp (t.v.) de un año u.dósis,varicela de 1 año 1a u.dósis,f.a. 1 año u.dósis,neumo de (12 meses a 23 meses) ref.,neumo de (12-23 meses) 1ra dosis,neumo de (12-23 meses) 2da dosis,neumo de (24- 35 meses) dosis unica,ha 1 año u. dósis,vop al año de la 3ra dosis 1er. ref.,dpt al año de la 3ra dosis 1er. ref.,población 5 años (meta programática),vop 5 años 2do. ref.,dpt 5 años 2do. ref.,srp (t.v.) 5 años ref.,flu gestantes a partir de la semana 14 unica,tdap acelular gestantes de 10 años y mas unica dosis en cada embarazo,region
91.0,AMAZONAS,1720.0,1571.0,1408.0,1548.0,1482.0,1554.0,1573.0,1484.0,1458.0,1469.0,1315.0,934.0,1569.0,1570.0,1786.0,1532.0,1495.0,1722.0,1503.0,24.0,52.0,29.0,1250.0,1429.0,1429.0,1816.0,1565.0,1563.0,1539.0,727.0,1023.0,AMAZONIA
5.0,ANTIOQUIA,77985.0,77253.0,75637.0,75725.0,72541.0,75710.0,74658.0,72677.0,71797.0,69215.0,59206.0,43281.0,76910.0,78580.0,79524.0,75061.0,73825.0,68955.0,76299.0,770.0,1414.0,3273.0,72005.0,69896.0,70119.0,83290.0,74774.0,74870.0,74345.0,52747.0,67252.0,ANDINA
81.0,ARAUCA,4561.0,4768.0,4617.0,4845.0,4738.0,4954.0,4963.0,4766.0,4695.0,4692.0,2747.0,2302.0,5298.0,5076.0,4542.0,5044.0,5098.0,5963.0,4912.0,207.0,277.0,253.0,5184.0,4346.0,4350.0,4841.0,4672.0,4690.0,4662.0,3280.0,4182.0,LLANOS
8.0,ATLANTICO,20423.0,20448.0,19028.0,21142.0,21741.0,20308.0,20491.0,20912.0,16953.0,18944.0,14566.0,9223.0,19214.0,21075.0,20841.0,21280.0,20732.0,21213.0,20125.0,389.0,619.0,419.0,19736.0,19633.0,19476.0,21173.0,21221.0,21465.0,20874.0,9895.0,15155.0,CARIBE
8001.0,BARRANQUILLA,21962.0,21887.0,20342.0,21625.0,21257.0,21678.0,21293.0,21174.0,21519.0,20945.0,18560.0,12331.0,22248.0,21778.0,21907.0,21285.0,21262.0,20800.0,21213.0,281.0,222.0,257.0,21462.0,21346.0,21333.0,21661.0,20723.0,20756.0,20712.0,14458.0,18010.0,CARIBE
11.0,BOGOTA D.C.,104937.0,109138.0,108130.0,92493.0,93060.0,92583.0,93134.0,93048.0,91199.0,91947.0,79922.0,54908.0,93180.0,95957.0,105191.0,97298.0,96302.0,86490.0,97059.0,613.0,698.0,1020.0,97130.0,88295.0,88338.0,106379.0,91378.0,91438.0,91929.0,66768.0,86079.0,ANDINA
13.0,BOLIVAR,21542.0,10386.0,9600.0,19042.0,18169.0,19049.0,18588.0,18202.0,18224.0,17791.0,15093.0,10293.0,18546.0,18132.0,22079.0,18336.0,17581.0,17013.0,17963.0,185.0,210.0,502.0,17452.0,17931.0,17836.0,21989.0,20049.0,19930.0,19739.0,12832.0,16141.0,CARIBE
13001.0,CARTAGENA,18943.0,19908.0,19783.0,18503.0,16788.0,18551.0,17967.0,16785.0,17876.0,17428.0,14261.0,10171.0,17891.0,16717.0,19050.0,17790.0,16993.0,15603.0,16149.0,162.0,321.0,248.0,16079.0,15744.0,15845.0,18350.0,16314.0,16291.0,16482.0,14288.0,15962.0,CARIBE
15.0,BOYACA,16003.0,15080.0,14992.0,15181.0,15205.0,15186.0,15220.0,15204.0,15052.0,15101.0,13258.0,10539.0,15218.0,15258.0,16381.0,15675.0,15645.0,15016.0,15641.0,60.0,89.0,76.0,15704.0,15129.0,15141.0,18243.0,16992.0,16997.0,16989.0,11098.0,13532.0,ANDINA
17.0,CALDAS,10096.0,9410.0,9500.0,9672.0,9769.0,9695.0,9824.0,9803.0,9371.0,9468.0,8539.0,6565.0,9385.0,9447.0,10180.0,9652.0,9671.0,9391.0,9395.0,12.0,11.0,53.0,9765.0,9466.0,9706.0,10963.0,9900.0,10008.0,9582.0,5690.0,8408.0,ANDINA
