codigo,departamentos,población menor 1 año (meta programática),bcg recien nacido (hasta 29 días) + menor un año (a partir de 30 dias hasta 11 meses 29 dias) dosis unica,hb recien nacido (hasta 29 días) d. unica,antipolio inactivada (vip) parenteral <  de 1 año 1ras. dosis,vop <de1 año + vip <1año 3as 3.dosis,penta menor de un año 1ras. dosis,penta menor de un año 2das. dosis,penta menor de un año 3ras dosis,rotavirus de 2 a 3 meses y 21 dias 1ra dosis,rotavirus de 4 a 11 meses y 29 dias 2da dosis,flu de 6 meses a 11 meses 1ra dosis,flu de 6 meses a 11 meses 2da dosis,neumo (2 a 11 meses 29 dias) 1ra dosis,neumo (2 a 11 meses 29 dias) 2da dosis,población de 1 año (meta programática),srp (t.v.) de un año u.dósis,varicela de 1 año 1a u.dósis,f.a. 1 año u.dósis,neumo de (12 meses a 23 meses) ref.,neumo de (12-23 meses) 1ra dosis,neumo de (12-23 meses) 2da dosis,neumo de (24- 35 meses) dosis unica,ha 1 año u. dósis,vop al año de la 3ra dosis 1er. ref.,dpt al año de la 3ra dosis 1er. ref.,población 5 años (meta programática),vop 5 años 2do. ref.,dpt 5 años 2do. ref.,srp (t.v.) 5 años ref.,flu gestantes a partir de la semana 14 unica,tdap acelular gestantes de 10 años y mas unica dosis en cada embarazo,region
91.0,AMAZONAS,1700.0,1510.0,1371.0,1482.0,1422.0,1482.0,1454.0,1429.0,1374.0,1382.0,1364.0,1107.0,1477.0,1459.0,1761.0,1550.0,1515.0,1579.0,1541.0,5.0,21.0,24.0,1850.0,1374.0,1375.0,1976.0,1390.0,1388.0,1385.0,870.0,1093.0,AMAZONIA
5.0,ANTIOQUIA,78215.0,74320.0,73602.0,74066.0,73627.0,74116.0,74138.0,73535.0,70602.0,71135.0,67178.0,53732.0,74727.0,74348.0,80134.0,76809.0,76708.0,68839.0,75827.0,670.0,1007.0,3082.0,78374.0,69119.0,69072.0,85619.0,73528.0,73627.0,74051.0,59589.0,65047.0,ANDINA
81.0,ARAUCA,4526.0,5195.0,5087.0,5005.0,4843.0,5008.0,4909.0,4846.0,4868.0,4725.0,4138.0,3075.0,5153.0,4940.0,4629.0,4997.0,5041.0,5120.0,4852.0,178.0,176.0,382.0,5095.0,4348.0,4346.0,4950.0,4471.0,4497.0,4491.0,2990.0,4181.0,LLANOS
8.0,ATLANTICO,20676.0,20272.0,19429.0,19795.0,21146.0,19715.0,19993.0,21135.0,19087.0,20848.0,17941.0,11704.0,19081.0,20741.0,21092.0,21438.0,21677.0,20094.0,21105.0,369.0,792.0,475.0,21599.0,19874.0,19930.0,21627.0,20911.0,20898.0,20960.0,14210.0,16064.0,CARIBE
8001.0,BARRANQUILLA,21732.0,21589.0,21588.0,21352.0,20957.0,21321.0,20980.0,21058.0,21271.0,20811.0,20227.0,14064.0,21715.0,21330.0,21844.0,22021.0,21720.0,21025.0,21502.0,347.0,331.0,673.0,22076.0,20985.0,21087.0,23376.0,22355.0,22370.0,22347.0,16584.0,17656.0,CARIBE
11.0,BOGOTA D.C.,104937.0,101990.0,102118.0,88109.0,90247.0,87999.0,89256.0,90293.0,86624.0,87097.0,61012.0,44525.0,89852.0,90885.0,105191.0,94619.0,95189.0,84108.0,92243.0,2692.0,1807.0,5438.0,96110.0,85234.0,85283.0,106379.0,93458.0,93544.0,94598.0,58709.0,83019.0,ANDINA
13.0,BOLIVAR,21390.0,10641.0,10193.0,18532.0,18825.0,18391.0,18660.0,18767.0,17806.0,17887.0,17900.0,13075.0,18754.0,19065.0,21923.0,20020.0,19970.0,16338.0,19829.0,294.0,315.0,559.0,20188.0,17751.0,17907.0,22577.0,18549.0,18859.0,18407.0,14316.0,15716.0,CARIBE
13001.0,CARTAGENA,19368.0,19157.0,19154.0,18117.0,17605.0,18207.0,18095.0,17604.0,17534.0,17398.0,15277.0,11695.0,19612.0,18949.0,19588.0,19222.0,19048.0,15356.0,19055.0,463.0,728.0,660.0,20408.0,15373.0,15394.0,19239.0,16901.0,16911.0,17150.0,16258.0,15634.0,CARIBE
15.0,BOYACA,14411.0,13822.0,13737.0,14420.0,14643.0,14422.0,14452.0,14639.0,14301.0,14350.0,13105.0,12075.0,14445.0,14489.0,15751.0,15240.0,15221.0,14912.0,15164.0,71.0,71.0,79.0,15264.0,14863.0,14860.0,17908.0,16570.0,16569.0,16603.0,12098.0,12577.0,ANDINA
17.0,CALDAS,10175.0,8759.0,8686.0,8882.0,9887.0,8780.0,8909.0,9848.0,8767.0,9491.0,8424.0,7074.0,8844.0,9892.0,10331.0,9994.0,9981.0,9632.0,9800.0,116.0,407.0,34.0,10041.0,9022.0,9124.0,11389.0,9641.0,9738.0,9018.0,6903.0,11263.0,ANDINA
18.0,CAQUETA,7880.0,7285.0,7070.0,7177.0,6819.0,7177.0,7044.0,6823.0,6747.0,6738.0,6646.0,5157.0,7185.0,7046.0,7870.0,7325.0,7315.0,7635.0,7160.0,85.0,148.0,100.0,7343.0,6216.0,6216.0,8384.0,7022.0,7021.0,7076.0,6474.0,6217.0,AMAZONIA
85.0,CASANARE,7308.0,6053.0,5982.0,6461.0,6500.0,6471.0,6601.0,6497.0,6405.0,6533.0,6287.0,5203.0,6469.0,6565.0,7411.0,6835.0,6827.0,7037.0,6846.0,15.0,26.0,35.0,6851.0,6613.0,6612.0,7687.0,7057.0,7056.0,7055.0,5376.0,5460.0,LLANOS
19.0,CAUCA,22109.0,16596.0,16216.0,19546.0,20543.0,19548.0,19797.0,20547.0,19020.0,19352.0,18890.0,14340.0,19571.0,19960.0,22724.0,21279.0,21097.0,18806.0,21362.0,87.0,179.0,133.0,21134.0,18884.0,18896.0,23406.0,20863.0,20845.0,20858.0,15132.0,16179.0,PACIFICO
20.0,CESAR,23192.0,22214.0,21469.0,23437.0,22560.0,23433.0,23095.0,22573.0,21520.0,20946.0,20959.0,15682.0,25013.0,23750.0,23773.0,24429.0,24178.0,21647.0,23830.0,1286.0,1091.0,1788.0,24789.0,20559.0,20519.0,25149.0,22543.0,22464.0,22564.0,18907.0,20879.0,CARIBE
27.0,CHOCO,10788.0,9441.0,7096.0,10886.0,9192.0,10889.0,10000.0,9199.0,8622.0,8446.0,9353.0,5556.0,10798.0,9948.0,11304.0,10747.0,10841.0,11099.0,10169.0,254.0,699.0,107.0,10896.0,6780.0,6781.0,11469.0,8816.0,8815.0,8878.0,6777.0,6937.0,PACIFICO
23.0,CORDOBA,31959.0,26796.0,26063.0,27894.0,27831.0,27829.0,27914.0,27811.0,27204.0,27417.0,26537.0,20960.0,27915.0,27938.0,32140.0,29019.0,28999.0,27002.0,28682.0,219.0,286.0,510.0,29043.0,26943.0,27030.0,33063.0,28619.0,28658.0,28656.0,23031.0,24452.0,CARIBE
25.0,CUNDINAMARCA,34881.0,17249.0,17132.0,31368.0,33684.0,31361.0,32643.0,33683.0,31053.0,32361.0,29321.0,20636.0,31528.0,32691.0,36013.0,35425.0,35601.0,32690.0,35324.0,218.0,198.0,510.0,36087.0,32802.0,32850.0,38315.0,35614.0,35720.0,35729.0,19870.0,25694.0,ANDINA
94.0,GUAINIA,842.0,1048.0,868.0,1034.0,893.0,1033.0,943.0,893.0,822.0,789.0,790.0,552.0,1044.0,938.0,884.0,1032.0,1019.0,1045.0,946.0,67.0,104.0,76.0,1042.0,648.0,649.0,950.0,828.0,830.0,847.0,544.0,681.0,AMAZONIA
95.0,GUAVIARE,1379.0,1331.0,1296.0,1322.0,1368.0,1322.0,1340.0,1370.0,1261.0,1285.0,1000.0,884.0,1328.0,1357.0,1386.0,1403.0,1410.0,1435.0,1419.0,5.0,11.0,8.0,1404.0,1220.0,1221.0,1673.0,1336.0,1336.0,1343.0,1003.0,1183.0,AMAZONIA
41.0,HUILA,20109.0,19127.0,19130.0,18631.0,18544.0,18627.0,18699.0,18541.0,18406.0,18514.0,16158.0,13220.0,18614.0,18676.0,20502.0,19559.0,19414.0,18310.0,19414.0,65.0,90.0,119.0,19790.0,18483.0,18478.0,20876.0,19904.0,19907.0,19935.0,14210.0,16948.0,ANDINA
44.0,LA_GUAJIRA,21078.0,21362.0,19727.0,21130.0,19098.0,21134.0,19525.0,19096.0,18444.0,17678.0,18662.0,12509.0,21873.0,19797.0,21574.0,20981.0,20701.0,14063.0,20194.0,1127.0,1099.0,2784.0,21052.0,14174.0,14177.0,22023.0,17215.0,17229.0,17221.0,14483.0,14547.0,CARIBE
47.0,MAGDALENA,17436.0,13561.0,13135.0,16313.0,16302.0,16315.0,16360.0,16293.0,15692.0,15861.0,14206.0,10411.0,16370.0,16317.0,17950.0,17056.0,17095.0,15466.0,16870.0,346.0,387.0,577.0,17227.0,15387.0,15357.0,18959.0,16423.0,16442.0,16442.0,12613.0,13323.0,CARIBE
47001.0,SANTA MARTA,9091.0,8574.0,8192.0,8466.0,7941.0,8394.0,8247.0,7956.0,7970.0,7746.0,6992.0,4710.0,8240.0,8103.0,9130.0,8400.0,8275.0,7181.0,7823.0,159.0,167.0,290.0,8460.0,7179.0,7389.0,9458.0,7473.0,7651.0,7462.0,6434.0,6602.0,CARIBE
50.0,META,16000.0,15334.0,15376.0,14829.0,14453.0,14849.0,14819.0,14425.0,14364.0,14473.0,11777.0,8358.0,15512.0,15739.0,16307.0,15395.0,15392.0,15823.0,16054.0,121.0,271.0,208.0,15760.0,14171.0,14171.0,17196.0,14894.0,14786.0,14901.0,9477.0,12268.0,LLANOS
52.0,NARIÑO,21309.0,18534.0,18082.0,18614.0,18259.0,18617.0,18486.0,18253.0,18039.0,18072.0,15030.0,13041.0,18726.0,18518.0,21730.0,19585.0,19691.0,18065.0,19386.0,269.0,183.0,499.0,19748.0,18156.0,18162.0,23264.0,19227.0,19209.0,19236.0,15043.0,15901.0,PACIFICO
54.0,NORTE_DE_SANTANDER,23758.0,20619.0,20311.0,22131.0,22414.0,22162.0,21924.0,22065.0,21426.0,20965.0,21995.0,15901.0,23224.0,22032.0,24173.0,22408.0,19435.0,24573.0,21682.0,798.0,734.0,540.0,23439.0,18663.0,18701.0,24111.0,20319.0,20381.0,20241.0,18482.0,18385.0,ANDINA
86.0,PUTUMAYO,4936.0,4142.0,4095.0,4709.0,4700.0,4712.0,4736.0,4699.0,4574.0,4612.0,3152.0,2778.0,4725.0,4735.0,5039.0,4906.0,4788.0,5144.0,4850.0,36.0,37.0,116.0,4953.0,4469.0,4488.0,5554.0,4891.0,4911.0,4945.0,3438.0,3967.0,AMAZONIA
63.0,QUINDIO,5929.0,5792.0,5748.0,5570.0,5699.0,5571.0,5641.0,5698.0,5517.0,5549.0,5727.0,4573.0,5610.0,5655.0,5894.0,5891.0,5941.0,5578.0,5838.0,63.0,51.0,85.0,6245.0,5620.0,5628.0,6259.0,5970.0,5956.0,5982.0,5162.0,5045.0,ANDINA
66.0,RISARALDA,10840.0,10772.0,10585.0,10206.0,10254.0,10209.0,10169.0,10244.0,9987.0,9998.0,8568.0,6847.0,10331.0,10361.0,11014.0,10662.0,10742.0,9978.0,10551.0,165.0,185.0,274.0,10824.0,10429.0,10446.0,12348.0,11095.0,10987.0,11038.0,6824.0,9103.0,ANDINA
88.0,SAN_ANDRES_ISLAS,895.0,743.0,739.0,789.0,815.0,785.0,799.0,824.0,761.0,779.0,684.0,587.0,790.0,796.0,916.0,820.0,811.0,752.0,818.0,0.0,1.0,3.0,821.0,773.0,776.0,926.0,825.0,828.0,829.0,697.0,688.0,CARIBE
68.0,SANTANDER,32581.0,28657.0,28711.0,28702.0,28717.0,28794.0,28749.0,28753.0,28410.0,28436.0,27870.0,22475.0,28811.0,28889.0,32919.0,29716.0,29652.0,27513.0,29606.0,231.0,268.0,449.0,30090.0,27280.0,27476.0,33449.0,28233.0,28322.0,28130.0,24207.0,24608.0,ANDINA
70.0,SUCRE,14817.0,14776.0,14737.0,15132.0,15111.0,15137.0,15038.0,15122.0,14563.0,14458.0,11609.0,10249.0,15246.0,15198.0,15218.0,15308.0,15232.0,13987.0,15251.0,67.0,135.0,162.0,15381.0,13898.0,13905.0,17425.0,15230.0,15247.0,15299.0,12478.0,13542.0,CARIBE
73.0,TOLIMA,18286.0,15258.0,15077.0,17233.0,17361.0,17236.0,17205.0,17353.0,17062.0,17001.0,16389.0,13725.0,17396.0,17509.0,18351.0,18184.0,18166.0,16624.0,18323.0,70.0,115.0,238.0,18401.0,16723.0,16765.0,19998.0,17835.0,18026.0,17631.0,11189.0,14143.0,ANDINA
76.0,VALLE_DEL_CAUCA,51379.0,46624.0,45985.0,52054.0,51981.0,51790.0,52278.0,52121.0,51609.0,51990.0,41491.0,32324.0,51938.0,52468.0,52858.0,52751.0,53373.0,51176.0,52531.0,1962.0,1021.0,1905.0,52766.0,51449.0,51404.0,55526.0,53212.0,54054.0,53352.0,31734.0,38512.0,PACIFICO
76109.0,BUENAVENTURA,5113.0,4481.0,4304.0,4575.0,3958.0,4586.0,4287.0,3955.0,4023.0,3873.0,4143.0,2977.0,4523.0,4151.0,5113.0,4608.0,4584.0,3083.0,4393.0,117.0,159.0,251.0,4624.0,3177.0,3171.0,6010.0,3914.0,3927.0,3743.0,3951.0,3754.0,PACIFICO
97.0,VAUPES,828.0,782.0,596.0,778.0,645.0,779.0,714.0,641.0,669.0,636.0,592.0,428.0,774.0,712.0,861.0,723.0,738.0,757.0,676.0,15.0,29.0,21.0,731.0,608.0,610.0,823.0,720.0,708.0,719.0,444.0,503.0,AMAZONIA
99.0,VICHADA,1841.0,1682.0,1085.0,1874.0,1267.0,1865.0,1588.0,1273.0,1284.0,1185.0,1311.0,791.0,1923.0,1546.0,1895.0,1817.0,1736.0,1842.0,1434.0,238.0,266.0,185.0,1819.0,956.0,945.0,1874.0,1307.0,1312.0,1280.0,1145.0,1162.0,LLANOS
